Date,Daily_avg,Train,train-Daily_avg,train-Daily_avg
2018/1/1,0.078423722,0.078369 ,-0.000055 ,-0.000055 
2018/1/2,0.160593055,0.160636 ,0.000043 ,0.000043 
2018/1/3,0.168240343,0.168122 ,-0.000118 ,-0.000118 
2018/1/4,0.139133828,0.139036 ,-0.000098 ,-0.000098 
2018/1/5,0.126726492,0.126638 ,-0.000089 ,-0.000089 
2018/1/6,0.096839641,0.096850 ,0.000010 ,0.000010 
2018/1/7,0.150526726,0.150421 ,-0.000106 ,-0.000106 
2018/1/8,0.154662505,0.154554 ,-0.000109 ,-0.000109 
2018/1/9,0.150838861,0.150889 ,0.000050 ,0.000050 
2018/1/10,0.224424503,0.224657 ,0.000232 ,0.000232 
2018/1/11,0.235271167,0.235106 ,-0.000165 ,-0.000165 
2018/1/12,0.169410847,0.169292 ,-0.000119 ,-0.000119 
2018/1/13,0.123995318,0.124844 ,0.000849 ,0.000849 
2018/1/14,0.171361686,0.171397 ,0.000036 ,0.000036 
2018/1/15,0.26234881,0.262477 ,0.000128 ,0.000128 
2018/1/16,0.290753024,0.290549 ,-0.000204 ,-0.000204 
2018/1/17,0.315489661,0.315346 ,-0.000143 ,-0.000143 
2018/1/18,0.238002341,0.237913 ,-0.000089 ,-0.000089 
2018/1/19,0.169957082,0.169838 ,-0.000119 ,-0.000119 
2018/1/20,0.108310574,0.108313 ,0.000002 ,0.000002 
2018/1/21,0.169957082,0.169994 ,0.000037 ,0.000037 
2018/1/22,0.306203668,0.306145 ,-0.000059 ,-0.000059 
2018/1/23,0.310807647,0.310823 ,0.000016 ,0.000016 
2018/1/24,0.338587593,0.338506 ,-0.000082 ,-0.000082 
2018/1/25,0.165353102,0.165237 ,-0.000116 ,-0.000116 
2018/1/26,0.169176746,0.169136 ,-0.000041 ,-0.000041 
2018/1/27,0.103550527,0.103478 ,-0.000073 ,-0.000073 
2018/1/28,0.170269216,0.170228 ,-0.000042 ,-0.000042 
2018/1/29,0.242294187,0.242202 ,-0.000092 ,-0.000092 
2018/1/30,0.352321498,0.352230 ,-0.000091 ,-0.000091 
2018/1/31,0.580179477,0.579850 ,-0.000329 ,-0.000329 
SUM,,-0.000935 ,,
